Character_Name	Ideals	Origin
Princess Python	Villainous	Marvel Comics
Prism	Villainous	Marvel Comics
Professor Imam	Heroic	Marvel Comics
Professor Power 	Villainous	Marvel Comics
Professor Xavier 	Heroic	Marvel Comics
Professor Zoom 	Villainous	DC Universe
Prometheus	Villainous	DC Universe
Protocide	Villainous	Marvel Comics
Prowler	Heroic	Marvel Comics
Psycho Man 	Villainous	Marvel Comics
Psylocke I	Heroic	Marvel Comics
Psylocke II	Heroic	Marvel Comics
Puck	Heroic	Marvel Comics
Puff Adder 	Villainous	Marvel Comics
Pulsar	Heroic	Marvel Comics
Puma	Heroic	Marvel Comics
Punisher	Heroic	Marvel Comics
Purple Man	Villainous	Marvel Comics
Pyro	Villainous	Marvel Comics
Letter Q	Return to Top
Quagmire	Heroic	Marvel Comics
Quantum	Villainous	Marvel Comics
Quasar	Heroic	Marvel Comics
Quasimodo	Villainous	Marvel Comics
Queen Bee	Villainous	DC Universe
Question	Heroic	DC Universe
Quicksand	Villainous	Marvel Comics
Quicksilver	Heroic	Marvel Comics
Letter R	Return to Top
Radioactive Man 	Villainous	Marvel Comics
Radius	Heroic	Marvel Comics
Rage	Heroic	Marvel Comics
Rainbow Raider 	Villainous	DC Universe
Rama Tut 	Villainous	Marvel Comics
Ransak	Heroic	Marvel Comics
Ras Al Ghul 	Villainous	DC Universe
Rattler	Villainous	Marvel Comics
Ravage	Villainous	Marvel Comics
Ravager IV	Villainous	DC Universe
Raven	Heroic	DC Universe
Ray	Heroic	DC Universe
Red Ghost 	Villainous	Marvel Comics
Red Ronin	Villainous	Marvel Comics
Red Skull 	Villianous	Marvel Comics
Red Tornado	Heroic	DC Universe
Redshift	Villainous	Marvel Comics
Redstone	Heroic	Marvel Comics
Remnant	Villainous	Marvel Comics
Rhapsody	Villainous	Marvel Comics
Rhino	Villainous	Marvel Comics
Rictor	Heroic	Marvel Comics
Riddler	Villainous	DC Universe
Ringmaster	Villainous	Marvel Comics
Riptide	Villainous	Marvel Comics
Robin	Heroic	DC Universe
Rock Python 	Villainous	Marvel Comics
Rogue	Heroic	Marvel Comics
ROM	Heroic	Marvel Comics
Roma	Heroic	Marvel Comics
Ronan the Accuser 	Villainous	Marvel Comics
Ronin	Heroic	Marvel Comics
Roughhouse	Villainous	Marvel Comics
Roulette	Heroic	Marvel Comics
Runner	Elders of the Universe	Marvel Comics
Rusty Collins 	Heroic	Marvel Comics
Letter S	Return to Top
Sabra	Heroic	Marvel Comics
Sabretooth	Villainous	Marvel Comics
Sage	Heroic	Marvel Comics
Sand	Heroic	DC Universe
Sandman	Villainous	Marvel Comics
Sasquatch I 	Heroic	Marvel Comics
Sasquatch II 	Heroic	Marvel Comics
Sasquatch III 	Heroic	Marvel Comics
Saturn Girl 	Heroic	DC Universe
Sauron	Villainous	Marvel Comics
Scalphunter	Villainous	Marvel Comics
Scarecrow	Villainous	Marvel Comics
Scarecrow	Villainous	DC Universe
Scarlet Centurion 	Villainous	Marvel Comics
Scarlet Spider 	Heroic	Marvel Comics
Scarlet Witch 	Heroic	Marvel Comics
Scorpian	Villainous	Marvel Comics
Scourge I 	Villainous	Marvel Comics
Scourge II 	Villainous	Marvel Comics
Scrambler	Villainous	Marvel Comics
Scream	Heroic	Marvel Comics
Screaming Mimi 	Villainous	Marvel Comics
Sebastian Shaw 	Villainous	Marvel Comics
Secret	Heroic	DC Universe
Selene	Villainous	Marvel Comics
Sensor	Heroic	DC Universe
Sentinels - Mark I 	Villainous	Marvel Comics
Sentinels - Mark II	Villainous	Marvel Comics
Sentinels - Mark III	Villainous	Marvel Comics
Sentinels - Mark IV 	Villainous	Marvel Comics
Sentinels - Mark V 	Villainous	Marvel Comics
Sentinels - Mark VI 	Villainous	Marvel Comics
Sentinels - Hunter Killers 	Villainous	Marvel Comics
Sentinels - Executive	Villainous	Marvel Comics
Sentinels - Master Mold 	Villainous	Marvel Comics
Sentinels - Nimrod	Villainous	Marvel Comics
Sentinels - Prime 	Villainous	Marvel Comics
Sentry - Robert Reynolds 	Heroic	Marvel Comics
Sentry - Kree 	Villainous	Marvel Comics
Sersi	Heroic	Marvel Comics
Set	Cosmic Entity	Marvel Comics
Seth	Heliopolitan Pantheon	Marvel Comics
Shadowcat	Heroic	Marvel Comics
Shadowking	Villainous	Marvel Comics
Shaman	Heroic	Marvel Comics
Shamrock	Heroic	Marvel Comics
Shang Chi 	Heroic	Marvel Comics
Shanna, the She-Devil 	Heroic	Marvel Comics
Shape	Heroic	Marvel Comics
Shaper of Worlds 	Cosmic Entity	Marvel Comics
Shard	Heroic	Marvel Comics
Shatterstar	Heroic	Marvel Comics
Shazam	Heroic	DC Universe
She Hulk 	Heroic	Marvel Comics
Shift	Heroic	DC Universe
Shinobi Shaw 	Villainous	Marvel Comics
Shocker	Villainous	Marvel Comics
Shriek	Villainous	Marvel Comics
Shrinking Violet 	Heroic	DC Universe
Shroud	Heroic	Marvel Comics
Shuma Gorath	Cosmic Entity	Marvel Comics
Sidewinder	Villainous	Marvel Comics
Siena Blaze 	Villainous	Marvel Comics
Sif	Asgardian Pantheon	Marvel Comics
Sigyn	Asgardian Pantheon	Marvel Comics
Silhouette	Heroic	Marvel Comics
Silver Sable 	Heroic	Marvel Comics
Silver Samauri 	Villainous	Marvel Comics
Silver Sorceress 	Heroic	DC Universe
Silver Surfer 	Heroic	Marvel Comics
Silverclaw	Heroic	Marvel Comics
Silvermane	Villainous	Marvel Comics
Siryn	Heroic	Marvel Comics
Skids	Heroic	Marvel Comics
Skien	Heroic	Marvel Comics
Skin	Heroic	Marvel Comics
Skinhead	Villainous	Marvel Comics
Skrullian	Heroic	Marvel Comics
Slipstream	Heroic	Marvel Comics
Slyde	Villainous	Marvel Comics
Smuggler	Villainous	Marvel Comics
Snowbird	Heroic	Marvel Comics
Solar	Heroic	Valiant
Solarr	Villainous	Marvel Comics
Solomon Grundy	Villainous	DC Universe
Songbird	Heroic	Marvel Comics
Spark	Heroic	DC Universe
Spawn	Heroic	Image
Spectre	Cosmic Entity	DC Universe
Speed Demon	Villainous	Marvel Comics
Speedball	Heroic	Marvel Comics
Speedy II 	Heroic	DC Universe
Sphynx I 	Villainous	Marvel Comics
Sphynx II 	Villainous	Marvel Comics
Spidercide	Villainous	Marvel Comics
Spidergirl	Heroic	Marvel MC2
Spiderman	Heroic	Marvel Comics
Spiderman - Cosmic 	Heroic	Marvel Comics
Spiderman - Hulk 	Heroic	Marvel Comics
Spiderman - Lizard	Heroic	Marvel Comics
Spiderman - Six Armed 	Heroic	Marvel Comics
Spiderwoman I 	Heroic	Marvel Comics
Spiderwoman II 	Heroic	Marvel Comics
Spiderwoman III 	Heroic	Marvel Comics
Spiderwoman IV 	Villainous	Marvel Comics
Spiral	Villainous	Marvel Comics
Spoiler	Heroic	DC Universe
Star Boy	Heroic	DC Universe
Starfire	Heroic	DC Universe
Starfox	Heroic	Marvel Comics
Stargirl	Heroic	DC Universe
Starlight	Heroic	Marvel Comics
Starman VII 	Heroic	DC Universe
Starshine I 	Heroic	Marvel Comics
Starshine II 	Heroic	Marvel Comics
Starshine		Wildcards
Steel I 	Heroic	DC Universe
Steel II 	Heroic	DC Universe
Steel II - Aegis Entropy	Villainous	DC Universe
Steel III 	Heroic	DC Universe
Stellaris	Heroic	Marvel Comics
Stepford Cuckoo's	Heroic	Marvel Comics
Stick	Heroic	Marvel Comics
Stilt Man	Villainous	Marvel Comics
Stinger I 	Heroic	Marvel
Stinger III 	Heroic	Marvel MC2
Stingray	Heroic	Marvel Comics
Stonecutter	Villainous	Marvel Comics
Stonewall	Heroic	Marvel Comics
Storm	Heroic	Marvel Comics
Stranger	Cosmic Entity	Marvel Comics
Stratosfire	Heroic	Marvel Comics
Strong Guy 	Heroic	Marvel Comics
Stryfe	Villainous	Marvel Comics
Sugar Man	Villainous	Marvel Comics
Sundragon	Heroic	Marvel Comics
Sunfire	Heroic	Marvel Comics
Sunpyre	Heroic	Marvel Comics
Sunspot	Heroic	Marvel Comics
Sunturion	Villainous	Marvel Comics
Super Adaptoid 	Villainous	Marvel Comics
Super Sabre 	Heroic	Marvel Comics
Super Skrull	Villainous	Marvel Comics
Superboy	Heroic	DC Universe
Supergirl - Kara 	Heroic	DC Universe
Superman	Heroic	DC Universe
Supreme Intelligence 	Villainous	Marvel Comics
Surtur	Asgardian Pantheon	Marvel Comics
Swarm	Villainous	Marvel Comics
Swordsman I	Heroic	Marvel Comics
Sym	Villainous	Marvel Comics
Synch	Heroic	Marvel Comics
Letter T	Return to Top
Talisman	Heroic	Marvel Comics
Tarot	Heroic	Marvel Comics
Taskmaster	Villainous	Marvel Comics
Tatterdemalion	Villainous	Marvel Comics
Techno	Villainous	Marvel Comics
Tempest	Villainous	Marvel Comics
Tempest	Heroic	DC Universe
Terminus	Villainous	Marvel Comics
Terrax	Villainous	Marvel Comics
Texas Twister 	Heroic	Marvel Comics
Thanos	Villainous	Marvel Comics
The Tick 	Heroic
Thena	Heroic	Marvel Comics
Thermite	Heroic	Marvel Comics
Thing	Heroic	Marvel Comics
Thor	Asgardian Pantheon	Marvel Comics
Thorgirl	Heroic	Marvel Comics
Threnody	Heroic	Marvel Comics
Thunder	Heroic	DC Universe
Thunder II	Heroic	DC Universe
Thunderball	Villainous	Marvel Comics
Thunderbird I 	Heroic	Marvel Comics
Thunderbird III	Heroic	Marvel Comics
Thunderbolt	Heroic	DC Universe
Thunderstrike I 	Heroic	Marvel Comics
Thunderstrike II 	Heroic	Marvel MC2
Thundra	Heroic	Marvel Comics
Tick Tock	Villainous	Marvel Comics
Tiger Shark 	Villainous	Marvel Comics
Tigra	Heroic	Marvel Comics
Timber Wolf	Heroic	DC Universe
Timeshadow	Villainous	Marvel Comics
Timeslip	Heroic	Marvel Comics
Tinkerer	Villainous	Marvel Comics
Titania I 	Wrestler	Marvel Comics
Titania II 	Villainous	Marvel Comics
Titanium Man 	Villainous	Marvel Comics
Toad	Villainous	Marvel Comics
Tom Thumb 	Heroic	Marvel Comics
Tomorrow Woman 	Heroic	DC Universe
Torpedo	Heroic	Marvel Comics
Tower	Villainous	Marvel Comics
Trader	Elders of the Universe	Marvel Comics
Trapster	Villainous	Marvel Comics
Trevor Fitzroy	Villainous	Marvel Comics
Triad	Heroic	DC Universe
Triathalon	Heroic	Marvel Comics
Trick Shot	Villainous	Marvel Comics
Trickster	Villainous	DC Universe
Triton	Heroic	Marvel Comics
Troia	Heroic	DC Universe
Turbo	Heroic	Marvel Comics
Typhoid Mary 	Villainous	Marvel Comics
Tyr	Asgardian Pantheon	Marvel Comics
Tyrant	Villainous	Marvel Comics
Letter U	Return to Top
Ulik	Asgardian Pantheon	Marvel Comics
Ultra Boy 	Heroic	DC Universe
Ultra Humanite 	Villainous	DC Universe
Ultron I 	Villainous	Marvel Comics
Ultron V 	Villainous	Marvel Comics
Ultron VI 	Villainous	Marvel Comics
Ultron VIb 	Villainous	Marvel Comics
Ultron VII	Villainous	Marvel Comics
Ultron VIII - Ultron X 	Villainous	Marvel Comics
Ultron XI 	Villainous	Marvel Comics
Uman	Villainous	Marvel Comics
Umar	Villainous	Marvel Comics
Umbra	Heroic	DC Universe
Unicorn	Villainous	Marvel Comics
Union Jack 	Heroic	Marvel Comics
Unus, the Untouchable 	Villainous	Marvel Comics
Ursa Major 	Heroic	Marvel Comics
Urthona	Villainous	Marvel Comics
US Agent	Heroic	Marvel Comics
Letter V	Return to Top
Vagabond	Heroic	Marvel Comics
Valkyrie	Asgardian Pantheon	Marvel Comics
Vandal Savage	Villainous	DC Universe
Vanguard	Heroic	Marvel Comics
Vanisher	Villainous	Marvel Comics
Vartox	Heroic	DC Universe
Vengeance	Heroic	Marvel Comics
Venom	Villainous	Marvel Comics
Vermin	Villainous	Marvel Comics
Vertigo	Villainous	Marvel Comics
Vesta	Greek Pantheon	Marvel Comics
Vibro	Villainous	Marvel Comics
Vidar	Asgardian Pantheon	Marvel Comics
Vindicator	Heroic	Marvel Comics
Viper	Villainous	Marvel Comics
Vision	Heroic	Marvel Comics
Volcana	Heroic	Marvel Comics
Volla	Asgardian Pantheon	Marvel Comics
Volstagg	Asgardian Pantheon	Marvel Comics
Vulture	Villainous	Marvel Comics
Letter W	Return to Top
War Machine	Heroic	Marvel Comics
War Machine II	Heroic	Marvel Comics
War Machine III	Villainous	Marvel Comics
Warbird	Heroic	Marvel Comics
Warlock	Heroic	Marvel Comics
Warpath	Heroic	Marvel Comics
Warrior	Heroic	DC Universe
Wasp	Heroic	Marvel Comics
Watcher	Cosmic Entity	Marvel Comics
Weather Wizard 	Villainous	DC Universe
Wendigo	Villainous	Marvel Comics
Werewolf	Villainous	Marvel Comics
Whirlwind	Villainous	Marvel Comics
White Rabbit 	Villainous	Marvel Comics
Whizzer	Heroic	Marvel Comics
Wild Fire	Heroic	DC Universe
Wild Thing 	Heroic	Marvel MC2
Wildcat	Heroic	DC Universe
Wildchild	Heroic	Marvel Comics
Will O The Wisp 	Villainous	Marvel Comics
Wizard	Villainous	Marvel Comics
Wizkid	Heroic	Marvel Comics
Wolfsbane	Heroic	Marvel Comics
Wolverine	Heroic	Marvel Comics
Wonder Woman I 	Heroic	DC Universe
Wonder Woman II 	Heroic	DC Universe
Wondergirl II	Heroic	DC Universe
Wonderman	Heroic	Marvel Comics
Wraith	Heroic	Marvel Comics
Wraith		Wildcards
Wrecker	Villainous	Marvel Comics
Letter X	Return to Top
X-23	Heroic	Marvel Comics
X Treme	Heroic	Marvel Comics
Xman	Heroic	Marvel Comics
XS	Heroic	DC Universe
Letter Y	Return to Top
Yellowclaw	Villainous	Marvel Comics
Yellowjacket I	Heroic	Marvel Comics
Yellowjacket II 	Heroic	Marvel Comics
Yeoman		Wildcards
Ymir	Asgardian Pantheon	Marvel Comics
Letter Z	Return to Top
Zaladane	Villainous	Marvel Comics
Zatanna	Heroic	DC Universe
Zauriel	Heroic	DC Universe
Zeus	Greek Pantheon	Marvel Comics
Zombie	Villainous	Marvel Comics
Zuras	Heroic	Marvel Comics
Zzzax	Villainous	Marvel Comics
